date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
3/2/2015,Quarter1,sweing,Monday,4,0.65,26.66,832.0,6780,55,0.0,0,0,57.0,0.750255
1/3/2015,Quarter1,finishing,Saturday,4,0.80,4.15,NaN,6600,0,0.0,0,0,20.0,0.988025
3/2/2015,Quarter1,sweing,Monday,5,0.65,27.48,544.0,6720,34,0.0,0,0,56.0,0.700904
1/3/2015,Quarter1,finishing,Saturday,11,0.75,2.90,NaN,5640,0,0.0,0,0,17.0,0.987880
3/2/2015,Quarter1,sweing,Monday,10,0.70,21.82,1511.0,3600,30,0.0,0,0,51.0,0.700136
1/3/2015,Quarter1,finishing,Saturday,9,0.8,4.15,NaN,960,0,0.0,0,0,8.0,0.956271
3/2/2015,Quarter1,finishing,Monday,10,0.7,2.90,NaN,3360,0,0.0,0,0,8.0,0.632361
1/3/2015,Quarter1,finishing,Saturday,3,0.75,3.94,NaN,1560,0,0.0,0,0,8.0,0.945278
3/2/2015,Quarter1,finishing,Monday,12,0.80,4.60,NaN,3780,0,0.0,0,0,9.0,0.607654
1/3/2015,Quarter1,finishing,Saturday,1,0.80,3.94,NaN,960,0,0.0,0,0,8.0,0.902917
3/2/2015,Quarter1,finishing,Monday,1,0.65,3.94,NaN,3360,0,0.0,0,0,8.0,0.537919
1/3/2015,Quarter1,sweing,Saturday,1,0.8,28.08,772.0,6300,50,0.0,0,0,56.5,0.800725
3/2/2015,Quarter1,finishing,Monday,7,0.8,4.60,NaN,3360,0,0.0,0,0,8.0,0.342361
1/3/2015,Quarter1,sweing,Saturday,3,0.8,28.08,913.0,6540,50,0.0,0,0,54.5,0.800323
3/3/2015,Quarter1,finishing,Tuesday,7,0.8,4.60,NaN,4200,0,0.0,0,0,10.0,0.999533
1/3/2015,Quarter1,sweing,Saturday,8,0.8,26.16,1261.0,7080,50,0.0,0,0,59.0,0.800319
3/3/2015,Quarter1,finishing,Tuesday,3,0.8,4.60,NaN,6300,0,0.0,0,0,15.0,0.902963
1/3/2015,Quarter1,sweing,Saturday,12,0.8,26.16,844.0,7080,63,0.0,0,0,59.0,0.800319
3/3/2015,Quarter1,sweing,Tuesday,11,0.8,11.41,601.0,0,50,0.0,0,0,56.0,0.800702
1/3/2015,Quarter1,sweing,Saturday,11,0.8,11.61,1005.0,7080,50,0.0,0,0,29.5,0.800237
3/3/2015,Quarter1,sweing,Tuesday,1,0.7,26.66,1562.0,6960,60,0.0,0,0,58.0,0.800566
1/3/2015,Quarter1,sweing,Saturday,5,0.8,11.61,659.0,7080,50,0.0,0,0,31.5,0.800149
3/3/2015,Quarter1,sweing,Tuesday,12,0.8,15.26,983.0,4080,50,0.0,0,0,34.0,0.800402
1/3/2015,Quarter1,sweing,Saturday,6,0.8,25.9,1152.0,6720,50,0.0,0,0,56.0,0.800125
3/3/2015,Quarter1,sweing,Tuesday,3,0.8,29.4,1156.0,6840,50,0.0,0,0,57.0,0.800333
1/3/2015,Quarter1,sweing,Saturday,7,0.8,25.9,1138.0,6720,38,0.0,0,0,56.0,0.800125
3/3/2015,Quarter1,sweing,Tuesday,7,0.8,30.1,29.0,7080,50,0.0,0,0,59.0,0.800116
1/3/2015,Quarter1,sweing,Saturday,10,0.75,19.31,610.0,6480,56,0.0,0,0,54.0,0.78730
3/3/2015,Quarter1,sweing,Tuesday,4,0.70,26.66,950.0,6960,50,0.0,0,0,58.0,0.75077
1/3/2015,Quarter1,finishing,Saturday,2,0.80,4.15,NaN,960,0,0.0,0,0,8.0,0.782448
3/3/2015,Quarter1,sweing,Tuesday,8,0.75,29.40,534.0,6840,56,0.0,0,0,57.0,0.750474
1/3/2015,Quarter1,sweing,Saturday,2,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.750243
3/3/2015,Quarter1,sweing,Tuesday,9,0.75,18.79,1096.0,6240,34,0.0,0,0,52.0,0.750396
1/3/2015,Quarter1,finishing,Saturday,10,0.70,4.15,NaN,960,0,0.0,0,0,8.0,0.701812
3/3/2015,Quarter1,sweing,Tuesday,6,0.75,20.20,402.0,3120,45,0.0,0,0,33.0,0.750213
1/3/2015,Quarter1,sweing,Saturday,4,0.70,23.69,544.0,13800,0,0.0,0,0,60.0,0.700134
3/3/2015,Quarter1,finishing,Tuesday,8,0.75,4.60,NaN,3360,0,0.0,0,0,8.0,0.702778
1/3/2015,Quarter1,sweing,Saturday,9,0.7,28.08,1072.0,6900,40,0.0,0,0,57.5,0.699965
3/3/2015,Quarter1,sweing,Tuesday,5,0.7,27.48,573.0,6840,30,0.0,0,0,57.0,0.700660
1/3/2015,Quarter1,finishing,Saturday,8,0.8,2.90,NaN,960,0,0.0,0,0,8.0,0.628333
3/3/2015,Quarter1,sweing,Tuesday,10,0.7,21.82,1313.0,5040,30,0.0,0,0,51.0,0.699984
1/3/2015,Quarter1,finishing,Saturday,7,0.8,3.94,NaN,960,0,0.0,0,0,8.0,0.625313
3/3/2015,Quarter1,finishing,Tuesday,12,0.8,4.60,NaN,3780,0,0.0,0,0,9.0,0.636049
1/4/2015,Quarter1,finishing,Sunday,3,0.75,4.15,NaN,1560,0,0.0,0,0,8.0,0.991389
3/3/2015,Quarter1,finishing,Tuesday,2,0.40,3.90,NaN,6300,0,0.0,0,0,15.0,0.567378
1/4/2015,Quarter1,finishing,Sunday,9,0.8,3.94,NaN,960,0,0.0,0,0,8.0,0.931646
3/3/2015,Quarter1,finishing,Tuesday,1,0.7,3.94,NaN,3360,0,0.0,0,0,8.0,0.555431
1/4/2015,Quarter1,finishing,Sunday,1,0.8,3.94,NaN,960,0,0.0,0,0,8.0,0.915229
3/3/2015,Quarter1,finishing,Tuesday,4,0.7,3.94,NaN,3360,0,0.0,0,0,8.0,0.555431
1/4/2015,Quarter1,sweing,Sunday,6,0.8,11.61,539.0,6975,50,0.0,0,0,31.0,0.879714
3/3/2015,Quarter1,finishing,Tuesday,10,0.7,2.90,NaN,3360,0,0.0,0,0,8.0,0.463194
1/4/2015,Quarter1,finishing,Sunday,4,0.8,3.94,NaN,6600,0,0.0,0,0,20.0,0.861679
3/3/2015,Quarter1,finishing,Tuesday,5,0.7,4.60,NaN,3360,0,0.0,0,0,8.0,0.354444
1/4/2015,Quarter1,sweing,Sunday,9,0.80,26.16,1278.0,7080,60,0.0,0,0,59.0,0.850569
3/3/2015,Quarter1,finishing,Tuesday,6,0.75,2.90,NaN,3360,0,0.0,0,0,8.0,0.309333
1/4/2015,Quarter1,sweing,Sunday,7,0.8,25.90,1227.0,7020,60,0.0,0,0,56.5,0.850436
3/3/2015,Quarter1,sweing,Tuesday,2,0.4,15.28,157.0,5400,0,6.5,30,1,45.0,0.302770
1/4/2015,Quarter1,sweing,Sunday,8,0.8,25.9,1039.0,6780,45,0.0,0,0,56.5,0.850345
3/4/2015,Quarter1,finishing,Wednesday,3,0.8,4.6,NaN,1200,0,0.0,0,0,10.0,0.939167
1/4/2015,Quarter1,sweing,Sunday,4,0.8,28.08,878.0,4260,50,0.0,0,0,55.5,0.800598
3/4/2015,Quarter1,finishing,Wednesday,8,0.8,4.60,NaN,960,0,0.0,0,0,8.0,0.930417
1/4/2015,Quarter1,sweing,Sunday,1,0.8,26.16,1033.0,7080,63,0.0,0,0,59.0,0.800319
3/4/2015,Quarter1,finishing,Wednesday,12,0.8,4.60,NaN,1080,0,0.0,0,0,9.0,0.885926
1/4/2015,Quarter1,sweing,Sunday,2,0.80,28.08,782.0,6660,50,0.0,0,0,55.5,0.800238
3/4/2015,Quarter1,finishing,Wednesday,9,0.75,2.90,NaN,960,0,0.0,0,0,8.0,0.833750
1/4/2015,Quarter1,sweing,Sunday,12,0.8,11.61,1216.0,6975,50,0.0,0,0,31.0,0.800030
3/4/2015,Quarter1,finishing,Wednesday,1,0.7,3.94,NaN,960,0,0.0,0,0,8.0,0.806879
1/4/2015,Quarter1,finishing,Sunday,2,0.8,3.94,NaN,960,0,0.0,0,0,8.0,0.792104
3/4/2015,Quarter1,finishing,Wednesday,4,0.7,3.94,NaN,960,0,0.0,0,0,8.0,0.806058
1/4/2015,Quarter1,finishing,Sunday,10,0.7,3.94,NaN,4320,0,0.0,0,0,18.0,0.759228
3/4/2015,Quarter1,sweing,Wednesday,11,0.8,11.41,433.0,0,38,0.0,0,0,56.0,0.800702
1/4/2015,Quarter1,sweing,Sunday,11,0.75,19.31,513.0,6480,45,0.0,0,0,54.0,0.750348
3/4/2015,Quarter1,sweing,Wednesday,12,0.80,15.26,961.0,4080,50,0.0,0,0,34.0,0.800402
1/4/2015,Quarter1,sweing,Sunday,3,0.75,19.87,734.0,6600,45,0.0,0,0,55.0,0.750243
3/4/2015,Quarter1,sweing,Wednesday,3,0.80,29.40,1169.0,6840,63,0.0,0,0,57.0,0.800333
1/4/2015,Quarter1,sweing,Sunday,10,0.7,28.08,1202.0,6900,40,0.0,0,0,57.5,0.699965
3/4/2015,Quarter1,sweing,Wednesday,7,0.8,30.10,874.0,3960,50,0.0,0,0,59.0,0.800056
1/4/2015,Quarter1,finishing,Sunday,8,0.8,2.90,NaN,960,0,0.0,0,0,8.0,0.682708
3/4/2015,Quarter1,sweing,Wednesday,4,0.7,26.82,1028.0,6960,60,0.0,0,0,58.0,0.799976
1/4/2015,Quarter1,finishing,Sunday,7,0.8,2.90,NaN,960,0,0.0,0,0,8.0,0.667604
3/4/2015,Quarter1,sweing,Wednesday,1,0.7,26.82,1772.0,6960,50,0.0,0,0,58.0,0.750652
1/4/2015,Quarter1,sweing,Sunday,5,0.70,45.67,884.0,6960,26,0.0,0,0,58.0,0.603432
3/4/2015,Quarter1,sweing,Wednesday,9,0.75,18.79,1206.0,6240,34,0.0,0,0,52.0,0.750396
1/4/2015,Quarter1,finishing,Sunday,11,0.75,4.15,NaN,960,0,0.0,0,0,8.0,0.345833
3/4/2015,Quarter1,sweing,Wednesday,5,0.70,27.48,586.0,6960,40,0.0,0,0,58.0,0.700424
1/5/2015,Quarter1,finishing,Monday,1,0.8,3.94,NaN,1920,0,0.0,0,0,8.0,0.961059
3/4/2015,Quarter1,sweing,Wednesday,10,0.7,21.82,1334.0,5760,30,0.0,0,0,53.0,0.700058
1/5/2015,Quarter1,finishing,Monday,11,0.8,3.94,NaN,2400,0,0.0,0,0,10.0,0.939514
3/4/2015,Quarter1,finishing,Wednesday,7,0.8,4.60,NaN,8400,0,0.0,0,0,20.0,0.684889
1/5/2015,Quarter1,finishing,Monday,4,0.8,3.94,NaN,3840,0,0.0,0,0,16.0,0.893663
3/4/2015,Quarter1,finishing,Wednesday,5,0.7,4.60,NaN,960,0,0.0,0,0,8.0,0.592083
1/5/2015,Quarter1,finishing,Monday,3,0.75,4.15,NaN,1920,0,0.0,0,0,8.0,0.875391
3/4/2015,Quarter1,finishing,Wednesday,2,0.50,3.90,NaN,960,0,0.0,0,0,8.0,0.540312
1/5/2015,Quarter1,sweing,Monday,9,0.8,26.16,1227.0,7080,75,0.0,0,0,59.0,0.850569
3/4/2015,Quarter1,sweing,Wednesday,8,0.8,29.40,30.0,6840,0,0.0,0,0,57.0,0.433263
1/5/2015,Quarter1,finishing,Monday,9,0.8,2.90,NaN,1920,0,0.0,0,0,8.0,0.820833
3/4/2015,Quarter1,sweing,Wednesday,2,0.5,15.28,261.0,5520,0,0.0,0,1,46.0,0.404145
1/5/2015,Quarter1,finishing,Monday,2,0.80,3.94,NaN,960,0,0.0,0,0,8.0,0.804417
3/4/2015,Quarter1,sweing,Wednesday,6,0.75,18.79,52.0,3960,0,0.0,0,0,33.0,0.332146
1/5/2015,Quarter1,sweing,Monday,7,0.8,25.9,1255.0,6780,50,0.0,0,0,56.5,0.800684
3/5/2015,Quarter1,finishing,Thursday,8,0.8,4.6,NaN,2640,0,0.0,0,0,22.0,0.980985
1/5/2015,Quarter1,sweing,Monday,8,0.8,25.9,1047.0,6780,38,0.0,0,0,56.5,0.800684
3/5/2015,Quarter1,finishing,Thursday,2,0.6,3.9,NaN,960,0,0.0,0,0,8.0,0.950625
1/5/2015,Quarter1,sweing,Monday,1,0.8,26.16,1138.0,7080,63,0.0,0,0,59.0,0.800319
3/5/2015,Quarter1,finishing,Thursday,11,0.8,2.90,NaN,1200,0,0.0,0,0,10.0,0.927292
1/5/2015,Quarter1,sweing,Monday,11,0.8,19.31,678.0,4800,50,0.0,0,0,55.0,0.800251
3/5/2015,Quarter1,finishing,Thursday,12,0.8,4.60,NaN,1080,0,0.0,0,0,9.0,0.868889
1/5/2015,Quarter1,sweing,Monday,6,0.8,11.61,712.0,7200,50,0.0,0,0,32.0,0.800246
3/5/2015,Quarter1,finishing,Thursday,1,0.7,3.94,NaN,960,0,0.0,0,0,8.0,0.812625
1/5/2015,Quarter1,sweing,Monday,12,0.8,11.61,1037.0,7200,50,0.0,0,0,32.0,0.800246
3/5/2015,Quarter1,finishing,Thursday,4,0.7,3.94,NaN,960,0,0.0,0,0,8.0,0.812625
1/5/2015,Quarter1,sweing,Monday,2,0.8,28.08,757.0,6900,50,0.0,0,0,57.5,0.800077
3/5/2015,Quarter1,finishing,Thursday,3,0.8,4.60,NaN,1800,0,0.0,0,0,15.0,0.810111
1/5/2015,Quarter1,sweing,Monday,4,0.8,28.08,759.0,6900,50,0.0,0,0,57.5,0.800077
3/5/2015,Quarter1,sweing,Thursday,11,0.8,11.41,455.0,3420,50,0.0,0,0,56.0,0.800702
1/5/2015,Quarter1,finishing,Monday,10,0.75,2.9,NaN,960,0,0.0,0,0,8.0,0.763375
3/5/2015,Quarter1,sweing,Thursday,3,0.80,29.4,797.0,1800,63,0.0,0,0,57.0,0.800535
1/5/2015,Quarter1,finishing,Monday,5,0.6,2.90,NaN,960,0,0.0,0,0,8.0,0.759271
3/5/2015,Quarter1,sweing,Thursday,12,0.8,15.26,959.0,4080,50,0.0,0,0,34.0,0.800402
1/5/2015,Quarter1,sweing,Monday,10,0.75,28.08,1083.0,7020,45,0.0,0,0,58.5,0.750400
3/5/2015,Quarter1,sweing,Thursday,1,0.70,26.82,1373.0,6960,50,0.0,0,0,58.0,0.750652
1/5/2015,Quarter1,sweing,Monday,3,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.750243
3/5/2015,Quarter1,sweing,Thursday,9,0.75,18.79,1228.0,6240,45,0.0,0,0,52.0,0.750396
1/5/2015,Quarter1,finishing,Monday,7,0.8,3.94,NaN,960,0,0.0,0,0,8.0,0.676667
3/5/2015,Quarter1,sweing,Thursday,4,0.7,26.82,1117.0,7080,50,0.0,0,0,59.0,0.750051
1/5/2015,Quarter1,finishing,Monday,8,0.8,2.90,NaN,960,0,0.0,0,0,8.0,0.664583
3/5/2015,Quarter1,sweing,Thursday,5,0.7,27.48,230.0,6960,40,0.0,0,0,58.0,0.700424
1/5/2015,Quarter1,sweing,Monday,5,0.6,21.98,666.0,6960,23,0.0,0,0,58.0,0.600029
3/5/2015,Quarter1,sweing,Thursday,10,0.7,21.82,1390.0,6000,30,0.0,0,0,50.0,0.700422
1/6/2015,Quarter1,finishing,Tuesday,4,0.8,3.94,NaN,4440,0,0.0,0,0,18.0,0.966781
3/5/2015,Quarter1,sweing,Thursday,2,0.6,15.28,529.0,1320,0,0.0,0,1,46.0,0.600099
1/6/2015,Quarter1,finishing,Tuesday,1,0.80,3.94,NaN,1440,0,0.0,0,0,8.0,0.936496
3/5/2015,Quarter1,finishing,Thursday,9,0.75,2.90,NaN,960,0,0.0,0,0,8.0,0.453125
1/6/2015,Quarter1,finishing,Tuesday,3,0.75,4.15,NaN,1800,0,0.0,0,0,10.0,0.899167
3/5/2015,Quarter1,sweing,Thursday,7,0.80,30.10,834.0,1200,0,4.0,40,0,59.0,0.366054
1/6/2015,Quarter1,finishing,Tuesday,11,0.80,4.15,NaN,2700,0,0.0,0,0,15.0,0.888687
3/5/2015,Quarter1,sweing,Thursday,6,0.35,22.53,1450.0,2640,0,0.0,0,1,39.0,0.263694
1/6/2015,Quarter1,finishing,Tuesday,9,0.8,3.94,NaN,1440,0,0.0,0,0,8.0,0.858144
3/7/2015,Quarter1,finishing,Saturday,12,0.8,4.60,NaN,1080,0,0.0,0,0,9.0,0.868889
1/6/2015,Quarter1,sweing,Tuesday,1,0.8,26.16,1187.0,10620,75,0.0,0,0,59.0,0.850502
3/7/2015,Quarter1,sweing,Saturday,12,0.8,15.26,986.0,4080,75,0.0,0,0,34.0,0.850521
1/6/2015,Quarter1,sweing,Tuesday,9,0.8,26.16,1305.0,10620,75,0.0,0,0,59.0,0.850502
3/7/2015,Quarter1,sweing,Saturday,1,0.7,26.82,1267.0,8160,70,0.0,0,0,58.0,0.850045
1/6/2015,Quarter1,finishing,Tuesday,10,0.75,3.94,NaN,1440,0,0.0,0,0,8.0,0.809640
3/7/2015,Quarter1,finishing,Saturday,7,0.80,4.60,NaN,6000,0,0.0,0,0,25.0,0.825444
1/6/2015,Quarter1,finishing,Tuesday,2,0.80,3.94,NaN,1440,0,0.0,0,0,8.0,0.805909
3/7/2015,Quarter1,finishing,Saturday,5,0.35,3.94,NaN,2400,0,0.0,0,0,10.0,0.805750
1/6/2015,Quarter1,sweing,Tuesday,2,0.8,28.08,716.0,10350,50,0.0,0,0,57.5,0.800594
3/7/2015,Quarter1,sweing,Saturday,4,0.7,26.82,1195.0,6960,60,0.0,0,0,58.0,0.800747
1/6/2015,Quarter1,sweing,Tuesday,4,0.8,28.08,925.0,10350,50,0.0,0,0,57.5,0.800594
3/7/2015,Quarter1,sweing,Saturday,3,0.8,29.40,983.0,6840,63,0.0,0,1,57.0,0.800579
1/6/2015,Quarter1,sweing,Tuesday,3,0.8,19.87,963.0,9900,50,0.0,0,0,55.0,0.800274
3/7/2015,Quarter1,sweing,Saturday,11,0.8,11.41,471.0,3420,50,0.0,0,0,58.0,0.800035
1/6/2015,Quarter1,sweing,Tuesday,12,0.8,11.61,1101.0,5310,50,0.0,0,0,31.5,0.800141
3/7/2015,Quarter1,finishing,Saturday,6,0.5,2.90,NaN,960,0,0.0,0,0,8.0,0.797500
1/6/2015,Quarter1,sweing,Tuesday,7,0.80,25.90,1035.0,10170,38,0.0,0,0,56.5,0.800129
3/7/2015,Quarter1,sweing,Saturday,9,0.75,18.79,1226.0,3480,45,0.0,0,0,51.0,0.749987
1/6/2015,Quarter1,sweing,Tuesday,8,0.8,25.90,1083.0,10170,38,0.0,0,0,56.5,0.800129
3/7/2015,Quarter1,sweing,Saturday,10,0.7,21.82,1251.0,6000,30,0.0,0,0,50.0,0.700422
1/6/2015,Quarter1,sweing,Tuesday,6,0.8,11.61,910.0,4470,38,0.0,0,0,31.5,0.800077
3/7/2015,Quarter1,finishing,Saturday,1,0.7,3.94,NaN,960,0,0.0,0,0,8.0,0.664875
1/6/2015,Quarter1,sweing,Tuesday,10,0.75,28.08,1209.0,10530,45,0.0,0,0,58.5,0.750545
3/7/2015,Quarter1,finishing,Saturday,4,0.70,3.94,NaN,960,0,0.0,0,0,8.0,0.664875
1/6/2015,Quarter1,sweing,Tuesday,11,0.75,19.31,590.0,9900,45,0.0,0,0,55.0,0.750058
3/7/2015,Quarter1,finishing,Saturday,11,0.80,2.90,NaN,960,0,0.0,0,0,8.0,0.657083
1/6/2015,Quarter1,finishing,Tuesday,8,0.80,2.9,NaN,1440,0,0.0,0,0,8.0,0.681061
3/7/2015,Quarter1,sweing,Saturday,2,0.65,16.1,626.0,4200,0,0.0,0,1,45.0,0.650240
1/6/2015,Quarter1,sweing,Tuesday,5,0.65,21.98,808.0,10440,35,0.0,0,0,58.0,0.649983
3/7/2015,Quarter1,finishing,Saturday,8,0.80,4.60,NaN,3600,0,0.0,0,0,15.0,0.590741
1/6/2015,Quarter1,finishing,Tuesday,7,0.80,2.9,NaN,1440,0,0.0,0,0,8.0,0.616250
3/7/2015,Quarter1,finishing,Saturday,2,0.65,3.9,NaN,1920,0,0.0,0,0,8.0,0.528125
1/7/2015,Quarter1,finishing,Wednesday,1,0.8,3.94,NaN,1440,0,0.0,0,0,8.0,0.951420
3/7/2015,Quarter1,sweing,Saturday,6,0.5,23.41,1379.0,2280,0,0.0,0,1,39.0,0.500528
1/7/2015,Quarter1,finishing,Wednesday,9,0.8,3.94,NaN,1440,0,0.0,0,0,8.0,0.88053
3/7/2015,Quarter1,sweing,Saturday,5,0.7,27.48,541.0,6960,24,0.0,0,1,58.0,0.40896
1/7/2015,Quarter1,sweing,Wednesday,1,0.8,26.16,1179.0,10620,75,0.0,0,0,59.0,0.850502
3/8/2015,Quarter2,finishing,Sunday,3,0.8,4.60,NaN,1440,0,0.0,0,0,12.0,0.951944
1/7/2015,Quarter1,sweing,Wednesday,9,0.8,26.16,1324.0,10620,75,0.0,0,0,59.0,0.850502
3/8/2015,Quarter2,finishing,Sunday,12,0.8,4.60,NaN,1080,0,0.0,0,0,9.0,0.945556
1/7/2015,Quarter1,sweing,Wednesday,8,0.80,25.9,1135.0,10170,60,0.0,0,0,56.5,0.850137
3/8/2015,Quarter2,finishing,Sunday,9,0.75,2.9,NaN,1080,0,0.0,0,0,9.0,0.929074
1/7/2015,Quarter1,finishing,Wednesday,3,0.75,4.15,NaN,2700,0,0.0,0,0,15.0,0.830000
3/8/2015,Quarter2,finishing,Sunday,1,0.75,3.94,NaN,960,0,0.0,0,0,8.0,0.890604
1/7/2015,Quarter1,finishing,Wednesday,4,0.80,3.94,NaN,4440,0,0.0,0,0,18.0,0.827187
3/8/2015,Quarter2,finishing,Sunday,4,0.75,3.94,NaN,960,0,0.0,0,0,8.0,0.890604
1/7/2015,Quarter1,finishing,Wednesday,2,0.8,3.94,NaN,1440,0,0.0,0,0,8.0,0.813371
3/8/2015,Quarter2,finishing,Sunday,2,0.7,3.90,NaN,1200,0,0.0,0,0,10.0,0.884000
1/7/2015,Quarter1,finishing,Wednesday,10,0.75,3.94,NaN,1440,0,0.0,0,0,8.0,0.805909
3/8/2015,Quarter2,finishing,Sunday,5,0.50,3.94,NaN,960,0,0.0,0,0,8.0,0.857917
1/7/2015,Quarter1,finishing,Wednesday,7,0.80,2.90,NaN,1440,0,0.0,0,0,8.0,0.804640
3/8/2015,Quarter2,sweing,Sunday,4,0.75,26.82,1082.0,6840,65,0.0,0,0,57.0,0.850084
1/7/2015,Quarter1,sweing,Wednesday,2,0.80,28.08,776.0,10350,63,0.0,0,0,57.5,0.800594
3/8/2015,Quarter2,sweing,Sunday,1,0.75,26.82,1254.0,6960,65,0.0,0,0,58.0,0.850071
1/7/2015,Quarter1,sweing,Wednesday,4,0.8,28.08,990.0,10350,50,0.0,0,0,57.5,0.800594
3/8/2015,Quarter2,sweing,Sunday,3,0.8,30.10,1278.0,3360,50,0.0,0,1,57.0,0.800511
1/7/2015,Quarter1,sweing,Wednesday,6,0.8,11.41,986.0,5490,50,0.0,0,0,30.5,0.800344
3/8/2015,Quarter2,sweing,Sunday,12,0.8,15.26,1064.0,4080,63,0.0,0,0,34.0,0.800402
1/7/2015,Quarter1,sweing,Wednesday,3,0.8,19.87,924.0,9900,50,0.0,0,0,55.0,0.800274
3/8/2015,Quarter2,sweing,Sunday,11,0.8,11.41,313.0,3420,50,0.0,0,0,58.0,0.800035
1/7/2015,Quarter1,sweing,Wednesday,12,0.8,11.61,1120.0,5670,50,0.0,0,0,31.5,0.800247
3/8/2015,Quarter2,finishing,Sunday,11,0.8,2.90,NaN,960,0,0.0,0,0,8.0,0.755208
